,ID_current,found_bccwj_file,found_bccwj_start,wrong,correct_bccwj_file,correct_bccwj_start,match_score,levenshtein
0,3_BCCWJ-ABC-aa-simple,LBg2_00048,14780.0,NaN,NaN,NaN,153.7979047,0.0
1,4_BCCWJ-ABC-aa-simple,LBj7_00026,4330.0,NaN,NaN,NaN,130.1762247,1.0
2,5_BCCWJ-ABC-aa-simple,LBl9_00238,5860.0,NaN,NaN,NaN,223.6724906,1.0
3,6_BCCWJ-ABC-aa-simple,LBe9_00208,81660.0,NaN,NaN,NaN,171.7225907,0.0
4,7_BCCWJ-ABC-aa-simple,LBk9_00158,98470.0,NaN,NaN,NaN,286.8525235,0.0
5,9_BCCWJ-ABC-aa-simple,LBn6_00002,6380.0,NaN,NaN,NaN,206.2042433,4.0
6,10_BCCWJ-ABC-aa-simple,LBo9_00133,42070.0,NaN,NaN,NaN,228.3643659,0.0
7,11_BCCWJ-ABC-aa-simple,LBd5_00018,3220.0,NaN,NaN,NaN,68.48062834,0.0
8,12_BCCWJ-ABC-aa-simple,LBf3_00106,47500.0,NaN,NaN,NaN,297.1177425,0.0
9,13_BCCWJ-ABC-aa-simple,LBl2_00076,30250.0,NaN,NaN,NaN,189.2095996,1.0
10,14_BCCWJ-ABC-aa-simple,LBe5_00005,23770.0,NaN,NaN,NaN,251.1258736,12.0
11,15_BCCWJ-ABC-aa-simple,LBl2_00012,38680.0,NaN,NaN,NaN,208.9752605,0.0
12,16_BCCWJ-ABC-aa-simple,LBl9_00189,2320.0,NaN,NaN,NaN,261.1007193,3.0
13,17_BCCWJ-ABC-aa-simple,LBj2_00071,55820.0,NaN,NaN,NaN,223.1468968,1.0
14,18_BCCWJ-ABC-aa-simple,LBj3_00101,65300.0,NaN,NaN,NaN,277.0249175,0.0
15,19_BCCWJ-ABC-aa-simple,LBn3_00002,7380.0,NaN,NaN,NaN,226.229101,0.0
16,20_BCCWJ-ABC-aa-simple,LBh1_00034,150.0,NaN,NaN,NaN,331.5331948,1.0
17,21_BCCWJ-ABC-aa-simple,LBj3_00106,9710.0,NaN,NaN,NaN,364.7460183,1.0
18,22_BCCWJ-ABC-aa-simple,LBj1_00031,40760.0,False,LBf7_00051,15680.0,14.09766936,21.0
19,23_BCCWJ-ABC-aa-simple,LBm2_00046,25750.0,NaN,NaN,NaN,176.8597884,0.0
20,24_BCCWJ-ABC-aa-simple,LBn9_00188,15830.0,NaN,NaN,NaN,181.0134411,2.0
21,25_BCCWJ-ABC-aa-simple,LBc7_00001,2690.0,NaN,NaN,NaN,328.7276145,0.0
22,26_BCCWJ-ABC-aa-simple,LBd9_00033,5480.0,NaN,NaN,NaN,220.9265928,0.0
23,27_BCCWJ-ABC-aa-simple,LBc1_00002,5200.0,NaN,NaN,NaN,165.2135713,0.0
24,28_BCCWJ-ABC-aa-simple,LBa9_00055,63050.0,NaN,NaN,NaN,369.1755047,1.0
25,29_BCCWJ-ABC-aa-simple,LBi9_00245,6380.0,NaN,NaN,NaN,195.9035214,1.0
26,30_BCCWJ-ABC-aa-simple,LBd9_00066,16970.0,NaN,NaN,NaN,264.8825046,1.0
27,31_BCCWJ-ABC-aa-simple,LBn9_00161,30810.0,NaN,NaN,NaN,213.2630672,0.0
28,32_BCCWJ-ABC-aa-simple,LBn9_00072,80770.0,NaN,NaN,NaN,216.4510075,1.0
29,33_BCCWJ-ABC-aa-simple,LBf7_00009,51050.0,NaN,NaN,NaN,253.9664642,0.0
30,34_BCCWJ-ABC-aa-simple,LBe9_00122,1210.0,NaN,NaN,NaN,116.4314321,1.0
31,35_BCCWJ-ABC-aa-simple,LBl2_00002,74180.0,NaN,NaN,NaN,16.80004298,8.0
32,36_BCCWJ-ABC-aa-simple,LBo3_00120,16370.0,NaN,NaN,NaN,331.2532119,0.0
33,37_BCCWJ-ABC-aa-simple,LBl4_00011,68770.0,NaN,NaN,NaN,321.857415,1.0
34,38_BCCWJ-ABC-aa-simple,LBf7_00017,3460.0,NaN,NaN,NaN,248.9286355,0.0
35,39_BCCWJ-ABC-aa-simple,LBj1_00001,28740.0,NaN,NaN,NaN,259.7328801,1.0
36,40_BCCWJ-ABC-aa-simple,LBc7_00001,10040.0,NaN,NaN,NaN,300.4682128,1.0
37,41_BCCWJ-ABC-aa-simple,LBo2_00014,39250.0,NaN,NaN,NaN,139.2213516,6.0
38,42_BCCWJ-ABC-aa-simple,LBl7_00057,26140.0,NaN,NaN,NaN,259.6411574,0.0
39,43_BCCWJ-ABC-aa-simple,LBc3_00010,10.0,NaN,NaN,NaN,19.68225923,1.0
40,44_BCCWJ-ABC-aa-simple,LBm9_00191,9850.0,NaN,NaN,NaN,236.3849133,1.0
41,45_BCCWJ-ABC-aa-simple,LBo5_00015,1610.0,NaN,NaN,NaN,297.0256327,0.0
42,46_BCCWJ-ABC-aa-simple,LBh9_00064,12400.0,NaN,NaN,NaN,189.3220622,0.0
43,48_BCCWJ-ABC-aa-simple,LBjn_00026,73730.0,NaN,NaN,NaN,309.8167986,0.0
44,49_BCCWJ-ABC-aa-simple,LBl1_00017,32120.0,NaN,NaN,NaN,184.7496894,2.0
45,50_BCCWJ-ABC-aa-simple,LBm9_00263,21780.0,NaN,NaN,NaN,163.1065839,2.0
46,51_BCCWJ-ABC-aa-simple,LBg5_00017,1370.0,NaN,NaN,NaN,260.4106888,0.0
47,52_BCCWJ-ABC-aa-simple,LBf4_00002,4430.0,NaN,NaN,NaN,290.0035153,0.0
48,53_BCCWJ-ABC-aa-simple,LBg9_00110,5530.0,NaN,NaN,NaN,157.3838654,1.0
49,54_BCCWJ-ABC-aa-simple,LBl2_00048,16980.0,NaN,NaN,NaN,254.2192242,0.0
50,55_BCCWJ-ABC-aa-simple,LBa9_00050,5980.0,NaN,NaN,NaN,246.3305964,3.0
51,56_BCCWJ-ABC-aa-simple,LBj9_00232,92010.0,NaN,NaN,NaN,194.4018052,1.0
52,57_BCCWJ-ABC-aa-simple,LBe1_00030,73600.0,NaN,NaN,NaN,293.02269,1.0
53,58_BCCWJ-ABC-aa-simple,LBf9_00060,34470.0,False,LBi7_00052,51880.0,14.9904268,15.0
54,59_BCCWJ-ABC-aa-simple,LBi3_00142,52040.0,NaN,NaN,NaN,285.0750784,0.0
55,60_BCCWJ-ABC-aa-simple,LBhn_00008,22450.0,NaN,NaN,NaN,140.2839685,0.0
56,61_BCCWJ-ABC-aa-simple,LBl9_00015,13700.0,NaN,NaN,NaN,248.7186896,1.0
57,62_BCCWJ-ABC-aa-simple,LBn2_00008,34380.0,NaN,NaN,NaN,221.5996214,0.0
58,63_BCCWJ-ABC-aa-simple,LBk9_00186,11620.0,NaN,NaN,NaN,303.8216869,0.0
59,65_BCCWJ-ABC-aa-simple,LBa9_00028,18940.0,NaN,NaN,NaN,194.4311338,10.0
60,66_BCCWJ-ABC-aa-simple,LBh3_00019,53770.0,NaN,NaN,NaN,288.7407873,0.0
61,67_BCCWJ-ABC-aa-simple,LBf3_00038,47550.0,NaN,NaN,NaN,393.2794226,1.0
62,68_BCCWJ-ABC-aa-simple,LBj9_00066,98060.0,NaN,NaN,NaN,215.9223666,1.0
63,69_BCCWJ-ABC-aa-simple,LBj3_00095,8920.0,NaN,NaN,NaN,219.0048455,0.0
64,70_BCCWJ-ABC-aa-simple,LBg9_00190,23340.0,NaN,NaN,NaN,102.9787732,7.0
